epoch,train_loss,train_taxi,train_cong,train_fill,val_loss,val_taxi,val_cong,val_fill
1,239.84699219365461,5.606647148887135,230.07046329113638,4.048682510302809,7.810915922009667,5.944508449975834,1.6259092301477849,0.23710662931160525
2,79.46200930582334,5.769818273309159,71.53765974541524,2.140334015493841,7.549686808918798,5.879461598950763,1.4405533423729182,0.22943965484236561
3,78.47348244622054,5.771661126994651,70.56609634385924,2.1327056854827218,7.365693056306173,5.8377966603567435,1.3241157290677346,0.20374456017148182
4,76.93591868968133,5.768597179714766,69.0528314958282,2.1135789376642427,7.430226481238077,5.895254958507627,1.323318122253959,0.21163983159525276
5,76.50669656532904,5.763681073529898,68.63712161593362,2.105520478150661,6.950156954831855,5.814841192822124,0.944216825504216,0.19108272922701788
6,76.32013660224787,5.760234780507545,68.4549395951661,2.1047971790069586,6.931740153667539,5.801832024441209,0.938024966903085,0.19187991120744236
7,75.94864298038105,5.760638943183005,68.0891175788304,2.0988286184246228,6.804384056911912,5.769028777299925,0.860563975623484,0.1747877253760952
8,75.83507749987156,5.757329611291987,67.97854193460222,2.0991888240750884,7.042307218839956,5.823239149049271,1.0430484144125394,0.17601814052783127
9,74.96539176000307,5.75496975943741,67.12116968335816,2.089247027823143,7.176273692485898,5.810069638629292,1.1808313367141108,0.1853724296832847
10,75.09470974546227,5.753546743813897,67.25085222923158,2.090309810131516,7.010905881260717,5.817810740581779,1.0122276531774543,0.18086740395682321
11,74.83215212640516,5.755556637112227,66.99491096067948,2.0816845480845942,6.8655982849209805,5.816365929537041,0.8736893116106648,0.17554303084305206
12,74.69042836222656,5.758115911411187,66.84837636275834,2.0839366053586863,7.055226816687473,5.854708083840304,1.0187830298791807,0.18173573140141575
13,74.17791062185209,5.750135598843138,66.35215018327742,2.075624810619623,7.227529949920122,5.852606426837832,1.194779121383299,0.18014437971138503
14,74.22763912354793,5.748314692005175,66.40141292621759,2.077911795251627,6.851979585581048,5.829961283262386,0.847088099292007,0.17493016914421217
15,74.26610576725442,5.750122272804992,66.4382335947036,2.0777500956581516,6.872433052506557,5.813570701798727,0.8845484551302222,0.17431386810900687
16,74.34390828743736,5.748721402892602,66.5185102156183,2.0766764101905455,7.052185219387676,5.8228774015293565,1.0539381087948514,0.17536969898745072
17,74.1817119531617,5.749491168302306,66.35504841196865,2.0771720129854785,6.773168915926024,5.778587138930033,0.8217762023370259,0.17280555302602088
18,73.9113773929474,5.750790839144447,66.08671996379876,2.0738663811866007,6.7523392882458,5.762534726497739,0.8166147228495352,0.17318979965869424
19,73.65565062222416,5.74827911864677,65.8385630900508,2.0688083426774546,6.7081272934758385,5.7753533928893335,0.7618442540142284,0.17092966962454104
20,73.25265508735924,5.74547341171102,65.44070217649067,2.0664795573795134,6.673647728077201,5.747424962908723,0.7516820566946525,0.17454070911396208
21,73.80737229569317,5.742559324116467,65.99082464529634,2.073988059322992,6.7122664368429845,5.7576673807099805,0.7837833409117424,0.17081572560506852
22,73.50649834913024,5.743097520128596,65.69411343925495,2.0692870462911497,6.72540177023688,5.780901892240657,0.7735724904106636,0.1709273974357043
23,73.39649040767954,5.741674389106135,65.58930957527879,2.065506360772855,6.698253052179203,5.793856595837792,0.7337458637370197,0.17065059703363236
24,73.23752914643542,5.742969600758777,65.43243078881567,2.0621290506746854,6.67152682570524,5.757838512575904,0.7434957510680903,0.17019255561645813
25,73.2005911548388,5.736389036773728,65.39772668211714,2.06647539622458,6.619616450265396,5.735422220340995,0.7116816982350767,0.17251254030676602
26,73.03896944199886,5.738204784044936,65.23717412202996,2.063590610428193,6.762853666793468,5.80330396807471,0.7900983686455685,0.16945133411303856
27,73.01917612897388,5.736815541846567,65.21817173343992,2.0641888848206813,6.63159041349278,5.752457649208779,0.7078511233531085,0.17128165554915836
28,73.0217960479597,5.734578770589611,65.22215814467914,2.065059206044497,6.680254423341085,5.769287486409032,0.7416354859495947,0.1693314720746563
29,72.85356756613861,5.733327704477528,65.05930829985543,2.0609316214397437,6.633193517840186,5.762967359187991,0.6987109119040407,0.17151522132308158
30,72.88623279777654,5.731490371797001,65.09376387057152,2.0609784698882105,6.734418957732444,5.77662037694177,0.7886848357502035,0.16911371441579662
31,72.81479567987915,5.7338566700254585,65.01968167181916,2.0612569140664427,6.840728604516317,5.813215252964995,0.8552872444216032,0.17222611280970362
32,72.76882500408992,5.7303415985049355,64.97763468623945,2.0608480001942935,6.726862305818602,5.796047288318013,0.7615152884389021,0.1692997322818481
33,72.69492855246209,5.732781561905209,64.90342518943207,2.058721590503665,6.744208773901296,5.796498539835908,0.7772499133792481,0.17046034043698116
34,72.61016060554817,5.731748350860503,64.82006815418254,2.058344226857843,6.83360678927843,5.810015367907147,0.8501593645561898,0.17343204310380442
35,72.58985298699622,5.728673310766118,64.80246642849887,2.0587135629736943,6.823409737542618,5.801153166349544,0.8498770127197806,0.17237959030560804
36,72.48426011127606,5.728068756004809,64.6982769216127,2.0579148642888896,6.803507455559664,5.794849420702735,0.8376323787798715,0.17102564163343592
37,72.50460987729751,5.72830760351962,64.71851696165847,2.057785525044803,6.81752769337144,5.8173360741415685,0.8289964163965589,0.17119520155951207
38,72.34382117429644,5.729409141627621,64.56076871938014,2.053643032590911,6.792693595553553,5.803422902905663,0.8183598718937584,0.17091080435649167
39,72.33310171748586,5.727715528537512,64.55040000701575,2.0549860162833418,6.783507549485495,5.803294425786928,0.8084584476695623,0.1717546419457121
40,72.3014882049967,5.7290734968954755,64.51884082955198,2.053573953580321,6.815846304560816,5.816820560499679,0.8270007362927657,0.17202502610378487
