policy,f3_taxi_min,f3_queue_min,f3_total_min
GreedyCapacityAware,5.750775414384293,2.399377921518782,8.150153335903074
GNN Greedy,5.745023831543004,3.110791209292123,8.855815040835127
GNN + Safe Override,5.745023831543004,3.110791209292123,8.855815040835127
