epoch,test_F1,test_F2,test_F3
7,0.6441800829976104,0.3738501792730287,23.99036667236062
5,0.6452358919520711,0.32159834710317986,24.07001209813495
6,0.6453519328389057,0.31224880315536674,20.84381173724352
9,0.6454934342656025,0.3054471383261126,22.68802815814351
8,0.6455005473175714,0.31130177960839384,20.761685211298076
17,0.64555616018384,0.28390362720156825,24.668459146521812
19,0.6456151708613994,0.28324974510212275,23.4860952302467
21,0.6456258504889733,0.2753325321300085,25.443877163321474
11,0.6457467893528384,0.28110281057482545,22.191872610602267
41,0.6460022870884385,0.2653442591775295,25.943444803703663
39,0.646182410245718,0.2535087146558041,24.882791272429532
24,0.646239960956019,0.24854166753763376,24.17852860273317
12,0.6462728987599529,0.24888451951880788,22.283527521199957
20,0.64629105773083,0.24804739602083384,25.83202515092007
15,0.6463081077780835,0.24599842068760894,23.104095677996792
30,0.6465822849855867,0.23131223993245945,26.665700753067814
14,0.646588769763015,0.23601295755699622,21.922842244076175
13,0.6466103806052097,0.23309133487731912,21.82972455856412
42,0.6466561822697173,0.23201893607890883,25.317792263141897
22,0.6467208276654399,0.22717217919091845,23.13331942086996
28,0.6467584766620813,0.22532110921172208,25.973716403162758
37,0.6468793732482333,0.21864313112441883,24.749917493310086
25,0.6469569580499516,0.2134110667677813,24.352080072081367
26,0.6470024135223654,0.20895894426246023,23.621794359628545
16,0.647010805301888,0.2158380876793418,22.32107874751091
29,0.6471040546894073,0.20887535775816718,24.559392077978266
3,0.6471167099337245,0.23365758905230566,19.27993054168169
44,0.6471972039272619,0.2086630920164807,25.350799241731334
48,0.6472803073567014,0.20625594994703003,25.663518028203832
4,0.6473009627918864,0.22564610596313034,18.529883951641793
40,0.647324092512907,0.19914729139486023,26.0095527282981
31,0.647340712159179,0.19799670992895615,25.40072883145754
51,0.6473500849895699,0.20764018829132236,24.768817405368008
33,0.647355284108672,0.1980144464692404,24.98504077417906
23,0.6473975424156633,0.19614984684212264,24.34841679140579
34,0.6474975804949916,0.1934596302724162,25.330582804458086
38,0.6475007700365644,0.19068247920205428,25.8490550088328
27,0.6476457486318987,0.18645299676545832,24.552066145941268
59,0.647828966032627,0.1904399146347545,23.884681826414063
61,0.6478666309700456,0.18912037059144918,23.501740603252898
60,0.6478912660548853,0.1876907862376335,23.971819532472033
62,0.6479157417319542,0.18607257917350115,23.996591164622195
66,0.6479307808155237,0.18504380556040032,23.833824821682864
68,0.6479352650254272,0.184703987524953,23.578114195618518
69,0.6479632715846217,0.18360116228807805,23.446762868831325
2,0.650501724592475,0.0924144430129334,20.704310738763144
1,0.6505050205214079,0.09169212767724381,17.8788414666819
